img_path,labels,prediction_score
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-010_03.png,attack,321.3348388671875
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-013_03.png,attack,354.192626953125
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-014_03.png,attack,309.0462341308594
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-030_03.png,attack,375.8577575683594
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-032_03.png,attack,407.9881896972656
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-087_03.png,attack,345.8658447265625
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-090_03.png,attack,310.5588073730469
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-107_03.png,attack,313.746337890625
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-113_03.png,attack,298.2555236816406
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-122_03.png,attack,324.6275329589844
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-127_03.png,attack,344.4698486328125
SYN-MAD22/MIPGAN_I_processed_r30/001_03-vs-129_03.png,attack,400.9151916503906
SYN-MAD22/MIPGAN_I_processed_r30/001_03.jpg,bonafide,566.612060546875
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-010_08.png,attack,302.30462646484375
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-014_08.png,attack,294.4573669433594
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-032_08.png,attack,326.234375
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-039_08.png,attack,312.35546875
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-087_08.png,attack,323.7018737792969
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-090_08.png,attack,342.5361633300781
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-094_08.png,attack,340.7398681640625
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-107_08.png,attack,269.68939208984375
SYN-MAD22/MIPGAN_I_processed_r30/001_08-vs-122_08.png,attack,318.27496337890625
SYN-MAD22/MIPGAN_I_processed_r30/001_08.jpg,bonafide,544.856201171875
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-011_03.png,attack,346.49334716796875
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-020_03.png,attack,303.53668212890625
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-027_03.png,attack,299.4684753417969
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-032_03.png,attack,372.85064697265625
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-039_03.png,attack,389.9488830566406
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-081_03.png,attack,287.94219970703125
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-091_03.png,attack,314.7032775878906
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-094_03.png,attack,315.1969299316406
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-097_03.png,attack,299.25054931640625
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-100_03.png,attack,342.7080078125
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-102_03.png,attack,306.5433349609375
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-118_03.png,attack,269.2779235839844
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-124_03.png,attack,349.4473571777344
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-136_03.png,attack,334.30499267578125
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-139_03.png,attack,278.12286376953125
SYN-MAD22/MIPGAN_I_processed_r30/002_03-vs-144_03.png,attack,347.08099365234375
SYN-MAD22/MIPGAN_I_processed_r30/002_03.jpg,bonafide,461.7020263671875
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-003_08.png,attack,436.57513427734375
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-011_08.png,attack,330.02825927734375
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-025_08.png,attack,375.80841064453125
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-027_08.png,attack,327.5555725097656
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-030_08.png,attack,340.6128845214844
SYN-MAD22/MIPGAN_I_processed_r30/002_08-vs-032_08.png,attack,354.96075439453125
